Event Name,Elev Gain,Elev Loss,Elev Max,Elev Min
Big Sur International Marathon,1654,1949,578,8
Boston Marathon,815,1275,470,10
California International Marathon,663,1003,359,19
Chicago Marathon,243,242,612,580
Disney World Marathon,351,354,105,75
Grandma's Marathon,471,581,727,603
Honolulu Marathon,457,455,126,3
Houston Marathon,225,222,84,27
L.A. Marathon,943,1169,566,203
Marine Corps Marathon,630,593,232,2
New York City Marathon,810,824,260,7
Philadelphia Marathon,846,820,148,5
Portland Marathon,873,873,178,30
Rock 'n' Roll Arizona Marathon,509,516,1277,1151
Rock 'n' Roll San Diego Marathon,798,1031,403,8
Rock 'n' Roll Seattle Marathon,1149,1155,404,17
San Francisco Marathon,1365,1364,306,5
St. George Marathon,500,3057,5244,2685
Twin Cities Marathon,576,495,950,788
